handle,name,category,notes
BillAckman,Bill Ackman,activist_investor,Pershing Square - tweets positions explicitly and moves stocks immediately
Carl_C_Icahn,Carl Icahn,activist_investor,Icahn Enterprises - known to tweet about target companies
DanLoeb,Dan Loeb,activist_investor,Third Point - activist campaigns in tech and consumer
JeffSmith_Starboard,Jeff Smith,activist_investor,Starboard Value - activist campaigns
ValueAct,ValueAct Capital,activist_investor,Institutional activist - tech and healthcare focus
Michael_Saylor,Michael Saylor,crypto,MicroStrategy CEO - buys Bitcoin publicly - highest signal crypto account
cz_binance,CZ,crypto,Binance founder - largest crypto exchange - major market mover
VitalikButerin,Vitalik Buterin,crypto,Ethereum co-founder - ETH price sensitive to his posts
APompliano,Anthony Pompliano,crypto,Bitcoin bull - large following - consistent crypto signal
tyler,Tyler Winklevoss,crypto,Gemini co-founder - Bitcoin maximalist
cameron,Cameron Winklevoss,crypto,Gemini co-founder - Bitcoin maximalist
PeterSchiff,Peter Schiff,crypto,Gold bull Bitcoin bear - contrarian signal on crypto
nic__carter,Nic Carter,crypto,Castle Island Ventures - thoughtful crypto analysis
RayDalio,Ray Dalio,macro,Bridgewater founder - macro views move markets briefly
paultudorjones,Paul Tudor Jones,macro,PTJ Capital - respected macro trader
JeffGundlach,Jeffrey Gundlach,macro,DoubleLine - bond king - interest rate calls
larry_summers,Larry Summers,macro,Former Treasury Secretary - policy and rates commentary
LHSummers,Lawrence Summers,macro,Academic account - same as above if primary inactive
nouriel,Nouriel Roubini,macro,Dr Doom - bearish - contrarian signal when he panics
austan_goolsbee,Austan Goolsbee,macro,Chicago Fed president - policy signals
NickTimiraos,Nick Timiraos,macro,WSJ Fed reporter - known as Fed whisperer - rate signals
ReformedBroker,Josh Brown,media,Ritholtz Wealth - daily market commentary large following
ritholtz,Barry Ritholtz,media,Ritholtz Wealth - market commentary
jimcramer,Jim Cramer,media,CNBC Mad Money - famous contrarian indicator
HowardLindzon,Howard Lindzon,media,StockTwits founder - market sentiment pulse
morganbrennan,Morgan Brennan,media,CNBC reporter - breaking market news
ScottWapner,Scott Wapner,media,CNBC Fast Money - often breaks institutional moves
HindenburgRes,Hindenburg Research,short_seller,Nate Anderson - short reports immediately move stocks hard
muddywaters,Muddy Waters Research,short_seller,Carson Block - Asia-focused short seller
CitronResearch,Citron Research,short_seller,Andrew Left - short reports with immediate price impact
GothamResearch,Gotham City Research,short_seller,Short research firm - biotech and tech
PrestigeEconom1,Spruce Point Capital,short_seller,Ben Axler - forensic short research
DanIves,Dan Ives,analyst,Wedbush tech analyst - Apple and EV calls closely followed
GaryBlackNYC,Gary Black,analyst,NextGen Vehicles fund - tweets constantly about Tesla data
MinaYousif,Mina Yousif,analyst,EV analyst - strong sector following
benedictevans,Benedict Evans,analyst,Independent tech analyst - strategy and market structure
tomgara,Tom Gara,analyst,Wall Street Journal - breaking tech business news
sama,Sam Altman,tech_executive,OpenAI CEO - AI industry signals - high engagement
karpathy,Andrej Karpathy,tech_executive,Former Tesla AI director - AI and EV signals
GaryMarcus,Gary Marcus,tech_executive,AI researcher - often bearish on AI hype
ylecun,Yann LeCun,tech_executive,Meta chief AI scientist - AI direction signals
fchollet,Francois Chollet,tech_executive,Google AI researcher - AI benchmark and capability signals
emollick,Ethan Mollick,tech_executive,Wharton AI professor - AI adoption signals
zuck,Mark Zuckerberg,tech_executive,Meta CEO - product and business signals
jonyivegroupie,Jony Ive,tech_executive,Former Apple designer - Apple product signals
# BobIger removed — Robert Iger already tracked as RobertIger in main targets
